driverID, timestamp, velocity, driverless, rideShare
2,2,2020/06/02 08:30:15,30.8224,false,false
2,2,2020/06/02 08:30:30,22.8224,false,false
2,2,2020/06/02 08:30:45,30.8224,false,false
2,2,2020/06/02 08:31:00,23.8224,false,false
2,2,2020/06/02 08:31:15,22.8224,false,false
2,2,2020/06/02 08:31:30,28.8224,false,false
2,2,2020/06/02 08:31:45,22.8224,false,false
2,2,2020/06/02 08:32:00,27.8224,false,false
2,2,2020/06/02 08:32:15,22.8224,false,false
2,2,2020/06/02 08:32:30,26.8224,false,false
2,2,2020/06/02 08:32:45,26.8224,false,false
2,2,2020/06/02 08:33:00,0.0,false,false
2,2,2020/06/02 08:33:15,0.0,false,false
2,2,2020/06/02 08:33:30,0.0,false,false
2,2,2020/06/02 08:33:45,0.0,false,false
2,2,2020/06/02 08:34:00,24.8224,false,false
2,2,2020/06/02 08:34:15,30.8224,false,false
2,2,2020/06/02 08:34:30,28.8224,false,false
2,2,2020/06/02 08:34:45,24.8224,false,false
2,2,2020/06/02 08:35:00,25.8224,false,false
2,2,2020/06/02 08:35:15,26.8224,false,false
2,2,2020/06/02 08:35:30,0.0,false,false
2,2,2020/06/02 08:35:45,0.0,false,false
2,2,2020/06/02 08:36:00,0.0,false,false
2,2,2020/06/02 08:36:15,0.0,false,false
2,2,2020/06/02 08:36:30,24.8224,false,false
2,2,2020/06/02 08:36:45,30.8224,false,false
2,2,2020/06/02 08:37:00,30.8224,false,false
2,2,2020/06/02 08:37:15,26.8224,false,false
2,2,2020/06/02 08:37:30,22.8224,false,false
2,2,2020/06/02 08:37:45,28.8224,false,false
2,2,2020/06/02 08:38:00,0.0,false,false
2,2,2020/06/02 08:38:15,0.0,false,false
2,2,2020/06/02 08:38:30,0.0,true,false
2,2,2020/06/02 08:38:45,0.0,true,false
2,2,2020/06/02 08:39:00,26.8224,true,false
2,2,2020/06/02 08:39:15,26.8224,true,false
2,2,2020/06/02 08:39:30,26.8224,true,false
2,2,2020/06/02 08:39:45,26.8224,true,false
2,2,2020/06/02 08:40:00,26.8224,true,false
2,2,2020/06/02 08:40:15,26.8224,true,false
